name,actors,director,length,place,year,genres,status,image
Violent Night,"David Harbour, John Leguizamo, Alex Hassell",Tommy Wirkola,112 minutes,United States,2023,"action, comedy",normal,"<img src=""pics/Violent_Night.png"">"
Strange World,"Jake Gyllenhaal, Dennis Quaid",Don Hall,102 minutes,United States,2022,"animation, science-fiction, adventure",normal,"<img src=""pics/Strange_World_poster.jpg"">"
The Menu,"Ralph Fiennes, Anya Taylor-Joy, Nicholas Hoult",Mark Mylod,106 minutes,United States,2022,"comedy, horror, thriller",normal,"<img src=""pics/The_Menu_(2022_film).jpg"">"
Black Panther: Wakanda Forever,"Letitia Wright, Lupita Nyong'o, Danai Gurira",Ryan Coogler,161 minutes,United States,2022,"action, adventure, drama",normal,"<img src=""pics/Black_Panther_Wakanda_Forever.jpg"">"
Black Adam,"Dwayne Johnson, Aldis Hodge, Noah Centineo",Jaume Collet-Serra,125 minutes,United States,2022,"action, adventure, fantasy",normal,"<img src=""pics/Black_Adam_(film)_poster.jpg"">"
Don't Worry Darling,"Harry Styles, Olivia Wilde",Olivia Wilde,123 minutes,United States,2022,"drama, thriller",normal,"<img src=""pics/Dont_Worry_Darling.jpg"">"
Smile,"Sosie Bacon, Jessie T. Usher",Parker Finn,115 minutes,United States,2022,"horror, mystery, thriller",normal,"<img src=""pics/Smile.jpg"">"
Ticket to Paradise,"Julia Roberts, George Clooney",Ol Parker,104 minutes,United States,2022,"Comedy, Romance",normal,"<img src=""pics/Ticket_to_Paradise.jpg"">"
Avatar: The Way of Water,"Sam Worthington, Zoe Saldana",James Cameron,"	192 minutes",United States,2023,"Sci-fi, Adventure, Action, Fantasy",normal,"<img src=""pics/Avatar_The_Way_of_Water_poster.jpg"">"
